powerStation,state,postcode,MWCapacity,fuelSource,year
Mercy Community,QLD,4014,0.8525,Solar,2025
Norther Airfield,VIC,3045,11.2784,Solar,2025
Rose Farms,WA,6220,0.1997,Solar,2025
Suprima Bakeries Pty Ltd,NSW,2566,0.7513,Solar,2025
East Rockingham Resource Recovery Facility,WA,,29.0,Biomass,2019
Mangalore Renewable Energy Project,VIC,,5.0,Solar,2021
Orange Community Renewable Energy Park,NSW,,5.0,Solar,2022
Moorebank Logistics Park,NSW,,60.0,Solar,2022
Wangaratta Solar Farm,VIC,,40.0,Solar,2023
Kidston Pumped Hydro Storage Project,QLD,,250.0,Hydro,2023
New England Solar Farm,NSW,,320.0,Solar,2023
Bellevue Gold Hybrid Power Station (Wind),WA,,24.0,Wind,2023
Glenellen solar project,NSW,,200.0,Solar,2023
Forest Glen Solar Farm,NSW,,90.0,Solar,2023
Uungula Wind Farm,NSW,,414.0,Wind,2024
Munna Creek Solar Farm,QLD,,150.0,Solar,2024
St Ives Gold Solar Farm,WA,,77.0,Wind,2024
Gunsynd Solar Farm,QLD,,94.0,Solar,2024
Aldoga Solar Farm,QLD,,380.0,Solar,2024
Arnotts Huntingwood Solar Project,NSW,,4.95,Solar,2024
Quorn Park Solar Hybrid,NSW,,98.0,Solar,2024
Golden Plains Wind Farm,VIC,,574.0,Wind,2024
Lotus Creek Wind Farm,QLD,,285.0,Wind,2024
Goorambat Solar Farm,VIC,,250.0,Solar,2024
Hay Solar Farm,NSW,,7.5,Solar,2024
Broadsound Solar Farm,QLD,,376.0,Solar,2024
Boulder Creek Wind Farm,QLD,,228.0,Wind,2024
Horsham Solar Farm,VIC,,118.8,Solar,2024
Carwarp Energy Park,VIC,,171.0,Solar,2024
Goulburn River Solar Farm,NSW,,450.0,Solar,2024
Wambo Wind Farm Stage 2,QLD,,254.0,Wind,2024
Warradarge Wind Farm Stage 2,WA,,108.0,Wind,2024
Bungama Solar Farm (stage 3),SA,,280.0,Solar,2025
Fulham Solar Farm,VIC,,80.0,Solar,2025
Cloudbreak Solar Farm,WA,,190.0,Solar,2025
Port Latta Wind Farm,TAS,,25.0,Wind,2025
Wandoan South Solar Farm (Stage 2),QLD,,240.0,Solar,2025
Lancaster Solar Farm,VIC,,106.0,Solar,2025
Mulwala Solar Farm,NSW,,31.0,Solar,2025
Barnawartha Solar Farm,VIC,,64.0,Solar,
Barwon solar farm,VIC,,250.0,Solar,
Boddington Giga Energy,WA,,400.0,Solar,
Bulli Creek Solar project Stage 1,QLD,,775.0,Solar,
Bullyard Solar Farm,QLD,,100.0,Solar,
Bungaban Wind Farm,QLD,,1400.0,Wind,
Byford Solar Project,WA,,30.0,Solar,
Campbells Forest Solar Farm,VIC,,205.0,Solar,
Coppabella Wind Farm,NSW,,284.0,Wind,
Derby Solar Farm & Battery,VIC,,95.0,Solar,
Elaine Solar Farm,VIC,,125.0,Solar,
Eurimbula Solar Farm,QLD,,696.0,Solar,
Frasers Solar Farm,VIC,,77.0,Solar,
Ganymirra Solar Power Station,QLD,,150.0,Solar,
Glanmire Solar Farm,NSW,,60.0,Solar,
Goyder North Wind Farm Stage 1,SA,,300.0,Wind,
Hopeland Solar Farm,QLD,,250.0,Solar,
Junction Rivers Wind Farm,NSW,,585.0,Wind,
Kalbarri Microgrid Project,WA,,5.0,Solar,
Kentbruck Green Power Hub,VIC,,600.0,Wind,
Kiamal Solar Farm,VIC,,150.0,Solar,
