facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Glenrowan West Solar Farm,F,VIC,215292.0,60.0,573.0,633,0.0,Solar,2023
Woolooga SF,F,QLD,212328.0,240.0,2151.0,2391,0.0,Solar,2023
YPF UTILITIES PRODUCTION AND SUPPLY,F,WA,22122.0,15999.0,0.0,15999,0.72,Gas,2023
YATPOOL SOLAR FARM,F,VIC,153049.0,0.0,387.0,387,0.0,Solar,2023
Cathedral Rocks Wind Farm,F,SA,133874.0,57.0,127.0,184,0.0,Wind,2024
Gunning Wind Farm,F,NSW,136502.0,50.0,218.0,268,0.0,Wind,2024
Mortlake South Wind Farm,F,VIC,283153.0,202.0,1128.0,1330,0.0,Wind,2024
Mt Gellibrand Wind Farm,F,VIC,284847.0,99.0,1273.0,1372,0.0,Wind,2024
Waubra Wind Farm,F,VIC,543046.0,186.0,1114.0,1300,0.0,Wind,2024
New England Solar Farm,F,NSW,822340.0,53.0,4108.0,4161,0.0,Solar,2024
Adani Rugby Run Solar Farm,F,QLD,158387.0,0.0,515.0,515,0.0,Solar,2024
Banimboola Hydro,F,VIC,25490.0,0.0,13.0,13,0.0,Hydro,2024
Barker Inlet Power Station,F,SA,284769.0,163814.0,1911.0,165725,0.58,Gas,2024
Bayswater Power Station,F,NSW,15546296.0,13678909.0,33810.0,13712719,0.88,Black Coal,2024
Bogong Power Station,F,VIC,53819.0,0.0,698.0,698,0.0,Hydro,2024
Broken Hill Solar Plant,F,NSW,107412.0,83.0,283.0,366,0.0,Solar,2024
Burrendong Hydro,F,NSW,44754.0,0.0,48.0,48,0.0,Hydro,2024
Clover Hydro,F,VIC,43317.0,0.0,197.0,197,0.0,Hydro,2024
Coopers Gap Wind Farm,F,QLD,1285781.0,152.0,1045.0,1197,0.0,Wind,2024
Copeton Hydro,F,NSW,50533.0,0.0,39.0,39,0.0,Hydro,2024
Dartmouth Hydro,F,VIC,275462.0,0.0,120.0,120,0.0,Hydro,2024
Eildon Hydro,F,VIC,228691.0,0.0,28.0,28,0.0,Hydro,2024
Glenbawn Hydro,F,NSW,0.0,0.0,8.0,8,0.0,Hydro,2024
Hallett (Stage 1) Wind Farm,F,SA,205313.0,56.0,168.0,224,0.0,Wind,2024
Hallett (Stage 2) Wind Farm,F,SA,176306.0,96.0,133.0,229,0.0,Wind,2024
Hallett (Stage 4) Wind Farm,F,SA,342845.0,163.0,259.0,422,0.0,Wind,2024
Hallett (Stage 5) Wind Farm,F,SA,98273.0,42.0,139.0,181,0.0,Wind,2024
Kwinana Swift Power Station,F,WA,111225.0,64886.0,72.0,64958,0.58,Gas,2024
Loy Yang Power Station and Mine,F,VIC,15689642.0,18531075.0,192632.0,18723707,1.18,Brown Coal,2024
Macarthur Wind Farm,F,VIC,654584.0,4369.0,2771.0,7140,0.01,Wind,2024
McKay Creek Hydro,F,VIC,81944.0,0.0,1291.0,1291,0.0,Hydro,2024
Nyngan Solar Plant,F,NSW,227900.0,156.0,580.0,736,0.0,Solar,2024
Oaklands Hill Wind Farm,F,VIC,123933.0,73.0,438.0,511,0.0,Wind,2024
Pindari Hydro,F,NSW,7775.0,0.0,0.0,0,0.0,Hydro,2024
Rubicon Hydro Scheme,F,VIC,2655.0,0.0,173.0,173,0.0,Hydro,2024
Silverton Wind Farm,F,NSW,597643.0,80.0,472.0,552,0.0,Wind,2024
Somerton Power Station,F,VIC,34463.0,26395.0,1244.0,27639,0.77,Gas,2024
Torrens Island Power Station,F,SA,626192.0,370328.0,5859.0,376187,0.59,Gas,2024
Wattle Point Wind Farm,F,SA,226774.0,61.0,97.0,158,0.0,Wind,2024
West Kiewa Hydro,F,VIC,173373.0,0.0,427.0,427,0.0,Hydro,2024
Yarrawonga Hydro,F,VIC,45107.0,0.0,12.0,12,0.0,Hydro,2024
Alinta Pinjarra Generation Facility,F,WA,1519509.0,1191948.0,229.0,1192177,0.78,Gas,2024
Bairnsdale Power Station,F,VIC,62804.0,33601.0,529.0,34130,0.54,Gas,2024
