powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
St Marys Sewage Treatment - Cogeneration Plant - NSW,NSW,2760.0,1.7,Sewage Gas and Biomass-Based Components of Sewage,2025-01-09,2025-05-20,Approved,
Wentworthville Leagues Club Ltd - Solar w SGU - NSW,NSW,2145.0,0.23,Solar,2025-05-02,2025-05-20,Approved,
Wentworthville Leagues Club Ltd System 2 - Solar w SGU - NSW,NSW,2145.0,0.23,Solar,2025-05-05,2025-05-20,Approved,
Westpork (Moora) - Agricultural Waste - WA,WA,6507.0,0.63,Agricultural Waste,2024-12-10,2025-05-21,Approved,
Across The Waves Sports Club Bundaberg - Solar - QLD,QLD,4670.0,0.4499,Solar,2025-04-30,2025-05-22,Approved,
HomeCo Toowoomba - Solar - QLD,QLD,4350.0,0.14,Solar,2025-05-01,2025-05-22,Approved,
HomeCo Upper Coomera - Solar - QLD,QLD,4209.0,0.23,Solar,2025-05-14,2025-05-22,Approved,
PLASTIC SOLUTIONS - Solar w SGU - VIC,VIC,3179.0,0.3586,Solar,2025-04-22,2025-05-26,Approved,
Clarke Creek Wind Farm - Wind - QLD,QLD,4705.0,450.0,Wind,2025-01-07,2025-05-28,Approved,
Big Dog Pet Foods - SOLAR- QLD,QLD,4504.0,0.6618,Solar,2025-04-30,2025-05-29,Approved,
Doomadgee Solar Farm Stage 2 - Solar - QLD,QLD,4830.0,0.304,Solar,2025-03-17,2025-05-29,Approved,
MOKOAN SOLAR FARM - SOLAR - VIC,VIC,3673.0,57.803,Solar,2025-02-25,2025-05-29,Approved,
Plainland - Solar w SGU - QLD,QLD,4341.0,0.4279,Solar,2025-05-08,2025-05-29,Approved,
Homeco Tingalpa - Solar - QLD,QLD,4173.0,0.204,Solar,2025-05-14,2025-05-30,Approved,
Palmerston Golf & Country Club- Solar w SGU – NT,NT,830.0,0.1998,Solar,2025-03-21,2025-05-30,Approved,
Tip Top Dry Creek- Solar - SA,SA,5094.0,0.9176,Solar,2025-04-10,2025-05-30,Approved,
Woolworths Kingston 7003 - Solar - TAS,TAS,7050.0,0.3375,Solar,2025-05-26,2025-06-03,Approved,
Americold Hemmant 2 - Solar w SGU - QLD,QLD,4174.0,0.3107,Solar,2025-05-22,2025-06-10,Approved,
Brisbane Lions - Solar - QLD,QLD,4300.0,0.7987,Solar,2025-04-14,2025-06-10,Approved,
Cairns Aquarium - SOLAR - QLD,QLD,4870.0,0.4001,Solar,2025-05-26,2025-06-10,Approved,
Clean Peak Energy - Coles Dubbo Square - Solar - NSW,NSW,2830.0,0.3704,Solar,2025-05-19,2025-06-10,Approved,
CSIRO - Solar - ACT,ACT,2620.0,1.2689,Solar,2024-08-20,2025-06-10,Approved,
HomeCo Keysborough - Solar w SGU - VIC,VIC,3173.0,0.1518,Solar,2025-05-14,2025-06-10,Approved,
STM Smeaton Grange – Solar w SGU – NSW,NSW,2567.0,0.2328,Solar,2025-03-26,2025-06-10,Approved,
The Big Banana Coffs Harbour - Solar w SGU - NSW,NSW,2450.0,0.1269,Solar,2025-05-02,2025-06-10,Approved,
Uniting Farmborough - Solar w SGU - NSW,NSW,2526.0,0.1499,Solar,2025-05-26,2025-06-10,Approved,
Synnex Australia - Solar w SGU - NSW,NSW,2141.0,0.4735,Solar,2025-04-24,2025-06-19,Approved,
Associated Grains Dalby - Solar w SGU - QLD,QLD,4405.0,0.3483,Solar,2025-03-31,2025-06-25,Approved,
Clean Peak Energy - Moama - Solar - NSW,NSW,2731.0,7.5275,Solar,2025-04-15,2025-06-25,Approved,
Kootingal Solar Farm - Solar - NSW,NSW,2352.0,6.048,Solar,2025-04-28,2025-06-25,Approved,
IBIS-solar w SGU-QLD,QLD,4876.0,0.151,Solar,2025-04-28,2025-06-26,Approved,
Puopolo Smallgoods-Solar-VIC,VIC,3026.0,0.3089,Solar,2025-04-16,2025-06-26,Approved,
Alsco Salisbury - Solar w SGU - QLD,QLD,4107.0,0.3001,Solar,2025-06-11,2025-06-27,Approved,
