facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year,lat,lng
Warmun Remote Power Station,F,WA,2707.0,1967.0,0.0,1967,0.73,Liquid Fuel,2015,-17.029704,128.2108177
West Belconnen LFG Power Station,F,ACT,3101.0,201.0,8.0,209,0.06,Landfill Gas,2015,-35.2400016,149.0672995
Wiluna Remote Power Station,F,WA,2292.0,1657.0,0.0,1657,0.72,Liquid Fuel,2015,-26.5943011,120.227356
Wingfield 1 LFG Power Station,F,SA,16096.0,1019.0,1.0,1020,0.06,Landfill Gas,2015,-34.8413535,138.54613
Wingfield 2 LFG Power Station,F,SA,16574.0,1049.0,1.0,1050,0.06,Landfill Gas,2015,-34.8413535,138.54613
Yalgoo Remote Power Station,F,WA,804.0,616.0,0.0,616,0.77,Liquid Fuel,2015,-28.3508702,116.7658255
Brewer Power Station,F,NT,47184.0,30511.0,14.0,30525,0.65,Gas,2015,-19.4914108,132.5509603
Cathedral Rocks Wind Farm,F,SA,172339.0,65.0,128.0,193,0.0,Wind,2015,-34.8650514,135.5967417
Hallett Power Station,F,SA,22288.0,23349.0,2735.0,26084,1.05,Gas/Diesel,2015,-33.3522796,138.7536186
Mt Piper Power Station,F,NSW,6282647.0,5432906.0,35153.0,5468059,0.86,Black Coal,2015,-33.358008,150.0320006
Tallawarra Power Station,F,NSW,2082392.0,758611.0,2381.0,760992,0.36,Gas,2015,-34.5248325,150.8065789
Waterloo Wind Farm,F,SA,295439.0,66.0,226.0,292,0.0,Wind,2015,-34.00106030000001,138.9110041
Yallourn Power Station,F,VIC,11253570.0,14318960.0,301769.0,14620729,1.27,Brown Coal,2015,-38.1814386,146.3479385
Newgen Neerabup Power Station,F,WA,124811.0,75996.0,3033.0,79029,0.61,Gas,2015,-31.6711775,115.801039
Oakey Power Station,F,QLD,499141.0,311168.0,1956.0,313124,0.62,Gas,2015,-27.4182658,151.6810198
Esperance Power Station,F,WA,75509.0,58134.0,0.0,58134,0.77,Gas/Diesel,2015,-33.8613953,121.8912724
