facility_name,facility_code,lat,lng,state,fuel_list
Susan River,SRSF,-25.420275,152.742028,QLD,['Solar']
Swanbank,0SWANBBESS,-27.65619,152.817139,QLD,"['Landfill Gas', 'Gas']"
Swanbank E,SWAN_E,-27.655286,152.818644,QLD,['Gas']
Tahmoor,TAHMOOR,-34.249117,150.577718,NSW,['Waste Coal Mine Gas']
Tailem Bend,TBSF,-35.28,139.49,SA,['Solar']
Tailem Bend 2,TB2SF,-35.28,139.49,SA,['Solar']
Tallawarra,TALLAWAR,-34.523089,150.808566,NSW,['Gas']
Tamar Valley,TVCCPS,-41.139268,146.906185,TAS,['Gas']
Taralga,TARALGA,-34.425387,149.859603,NSW,['Wind']
Tarong,0TARONGBESS,-26.780051,151.912068,QLD,['Black Coal']
Tarong,TARONG,-26.774397,151.917838,QLD,['Black Coal']
Tarraleah,TARRALEA,-42.301736,146.456661,TAS,['Hydro']
Teralba,TERALBA,-32.945557,151.612042,NSW,['Coal Seam Methane']
The Drop,THEDROP,-35.973527,145.999274,NSW,['Hydro']
Toora,TOORAWF,-38.653528,146.339774,VIC,['Wind']
Torrens Island,TIB,-34.805831,138.524192,SA,"['Gas/Diesel', 'Gas']"
Torrens Island,TORRIS,-34.804559,138.522229,SA,"['Gas/Diesel', 'Gas']"
Tower,TOWER,-34.219461,150.718012,NSW,"['Coal Seam Methane', 'Waste Coal Mine Gas']"
Townsville,YABULU,-19.200374,146.618265,QLD,"['Gas', 'Coal Seam Methane', 'Solar', 'Solar']"
Trevallyn,TREVALLN,-41.422302,147.112025,TAS,['Hydro']
Tribute,TRIBUTE,-41.811468,145.653252,TAS,['Hydro']
Tungatinah,TUNGATIN,-42.296396,146.455881,TAS,['Hydro']
Uranquinty,URANQ,-35.180226,147.21566,NSW,['Gas']
Wagga North,WAGGNSF,-35.069081,147.438227,NSW,['Solar']
Wandoan,WANDSF,-26.263564,149.772243,QLD,"['Solar', 'Solar']"
Warwick,WARWSF,-28.18321,152.066792,QLD,['Solar']
Waterloo,WATERLWF,-33.991095,138.915723,SA,"['Wind', 'Solar']"
Wattle Point,WPWF,-35.11541,137.718672,SA,['Wind']
Waubra,WAUBRAWF,-37.357979,143.5926,VIC,['Wind']
Wellington,WELLSF1,-32.5207,148.9675,NSW,['Solar']
Wemen,WEMENSF1,-34.80259,142.543348,VIC,['Solar']
West Kiewa,WKIEWA,-36.759674,147.186082,VIC,['Hydro']
West Wyalong,WSTWYSF,-33.795635,147.314545,NSW,['Solar']
White Rock Solar Farm,WRSF1,-29.763292,151.552402,NSW,['Solar']
White Rock Wind Farm,WRWF1,-29.7718,151.5755,NSW,['Wind']
Whitsunday,WHITSF,-20.537259,147.80475,QLD,['Solar']
Wilga Park,WILGAPK,-30.314444,149.652768,NSW,['Coal Seam Methane']
William Hovel,WILLHOV,-36.925216,146.389418,VIC,['Hydro']
Williamsdale,0WDBESS,-35.57458,149.131993,ACT,['Solar']
Willogoleche,WGWF,-33.393569,138.84821,SA,['Wind']
Windy Hill,WINDHILL,-17.590399,145.52968,QLD,['Wind']
Wingfield,WINGF1,-34.835138,138.548949,SA,['Landfill Gas']
Wingfield 2,WINGF2,-34.835138,138.548949,SA,['Landfill Gas']
Winton,WINTSF1,-36.499695,146.114554,VIC,"['Solar', 'Solar']"
Wivenhoe,WIVENHOE,-27.372224,152.632362,QLD,['Hydro']
Wivenhoe,WIVENSH,-27.394592,152.609237,QLD,['Hydro']
Wollert,WOLLERT,-37.591792,145.043033,VIC,['Landfill Gas']
Wonthaggi,WONWP,-38.60513,145.546292,VIC,['Wind']
Woodlawn,WDLNGN,-35.05928,149.5749,NSW,['Wind']
Woodlawn,WOODLWN,-35.081675,149.570511,NSW,['Wind']
Woolnorth,WOOLNTH1,-40.736375,144.694821,TAS,['Wind']
Woolooga,WOOLGSF,-26.084522,152.441226,QLD,['Solar']
Woy Woy,WOYWOY,-33.506914,151.291606,NSW,['Landfill Gas']
Wunghnu,WUNUSF,-36.164387,145.403731,VIC,['Solar']
Wyalong,WYASF,-33.804939,147.295155,NSW,['Solar']
Wyangala A,WYANGALA,-33.980371,148.947377,NSW,['Hydro']
Wyangala B,WYANGALB,-33.980371,148.947377,NSW,['Hydro']
Wyndham,WYNDW,-37.935372,144.5898,VIC,['Landfill Gas']
Wyndham,WYNDW,-37.935372,144.5898,WA,['Diesel']
Yaloak South,YSWF,-37.716474,144.241947,VIC,['Wind']
Yambuk,YAMBUK,-38.305278,142.018439,VIC,['Wind']
Yarranlea,YARANSF,-27.708939,151.532696,QLD,['Solar']
Yarrawonga,YWNGAHYD,-36.009466,145.999568,VIC,['Hydro']
