facility_code,facility_name,lat,lng,timestamp,power_value,emission_value,price_per_mwh,demand_mw,state,fuel_list
WUNUSF,Wunghnu,-36.164387,145.403731,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Solar']
WYASF,Wyalong,-33.804939,147.295155,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
YABULU,Townsville,-19.200374,146.618265,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,"['Gas', 'Coal Seam Methane', 'Solar', 'Solar']"
YAMBUK,Yambuk,-38.305278,142.018439,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Wind']
YARANSF,Yarranlea,-27.708939,151.532696,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
0TARONGBESS,Tarong,-26.780051,151.912068,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,QLD,['Black Coal']
AGLHAL,Hallett,-33.34931,138.752633,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,SA,"['Wind', 'Gas/Diesel', 'Gas']"
AGLSOM,Somerton,-37.630949,144.953098,2025-10-24T13:20:00,59.1,5.6895,140.12,20740.15,VIC,['Gas']
ANGASTON,Angaston,-34.503948,139.024296,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,SA,"['Liquid Fuel', 'Diesel']"
AVLSF,Avonlie,-34.919115,146.60954,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,NSW,['Solar']
B2PS,Braemar 2,-27.109873,150.907653,2025-10-24T13:20:00,121.9598,10.5533,140.12,20740.15,QLD,['Coal Seam Methane']
BALBESS,Ballarat,-37.567452,143.852741,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,VIC,"['Landfill Gas', 'Solar', 'Solar', 'Solar']"
BANGOWF,Bango,-34.767208,148.921499,2025-10-24T13:20:00,1.2983,0.0,140.12,20740.15,NSW,['Wind']
BANNSP,Bannerton,-34.67263,142.750362,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,VIC,['Solar']
BARCSF,Barcaldine,-23.547333,145.318972,2025-10-24T13:20:00,0.1,0.0,140.12,20740.15,QLD,"['Gas', 'Solar']"
BARKIPS,Barker Inlet,-34.804,138.524,2025-10-24T13:20:00,138.99,6.7995,140.12,20740.15,SA,['Gas']
BARRON,Barron Gorge,-16.85077,145.647049,2025-10-24T13:20:00,29.0425,0.0,140.12,20740.15,QLD,['Hydro']
BAYSW,Bayswater,-32.393502,150.953963,2025-10-24T13:20:00,1337.5449,97.3742,140.12,20740.15,NSW,['Black Coal']
BERYLSF,Beryl,-32.347501,149.460738,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,NSW,['Solar']
BHWF,Bald Hills,-38.758189,145.956062,2025-10-24T13:20:00,11.943,0.0,140.12,20740.15,VIC,['Wind']
BNGSF1,Bungala One,-32.423316,137.841798,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,SA,['Solar']
BNGSF2,Bungala Two,-32.406993,137.840933,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,SA,['Solar']
BOCOROCK,Boco Rock,-36.574527,149.124863,2025-10-24T13:20:00,2.84,0.0,140.12,20740.15,NSW,['Wind']
BODWF,Bodangora,-32.407128,149.04133,2025-10-24T13:20:00,2.7183,0.0,140.12,20740.15,NSW,['Wind']
BOLIVAR,Bolivar,-34.495482,138.387641,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,SA,['Gas']
BOLIVPS,Bolivar,-34.7772,138.5826,2025-10-24T13:20:00,31.76,2.1102,140.12,20740.15,SA,['Gas']
BOMENSF,Bomen,-35.0486,147.4439,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,NSW,['Solar']
BRAEMARA,Braemar,-27.111669,150.907647,2025-10-24T13:20:00,0.0,3.1653,140.12,20740.15,QLD,['Coal Seam Methane']
BROKENH,Broken Hill,-31.988905,141.391547,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,NSW,"['Solar', 'Diesel']"
BUTLERSG,Butlers Gorge,-42.267107,146.262127,2025-10-24T13:20:00,11.0,0.0,140.12,20740.15,TAS,['Hydro']
BWTR1,Broadwater,-29.016483,153.445756,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,NSW,"['Bagasse', 'Wood']"
CALLIDEC1,Callide C,-24.347222,150.608611,2025-10-24T13:20:00,417.725,30.8971,140.12,20740.15,QLD,['Black Coal']
CALL_B,Callide B,-24.333169,150.626322,2025-10-24T13:20:00,676.4,53.8799,140.12,20740.15,QLD,['Black Coal']
CANUNDA1,Canunda,-37.698303,140.383633,2025-10-24T13:20:00,4.0047,0.0,140.12,20740.15,SA,['Wind']
CAPTL_WF,Capital,-35.123534,149.500249,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,NSW,"['Solar', 'Wind', 'Solar', 'Solar']"
CATHROCK,Cathedral Rocks,-34.848741,135.592649,2025-10-24T13:20:00,34.5,0.0,140.12,20740.15,SA,['Wind']
CETHANA,Cethana,-41.479852,146.134472,2025-10-24T13:20:00,92.4964,0.0,140.12,20740.15,TAS,['Hydro']
CHALLWF,Challicum Hills,-37.395466,143.10459,2025-10-24T13:20:00,4.4,0.0,140.12,20740.15,VIC,['Wind']
CHILDSF,Childers,-25.295027,152.403674,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,QLD,['Solar']
CHYTWF,Cherry Tree,-37.1018,145.2656,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,VIC,['Wind']
CLARESF,Clare,-19.83977,147.21055,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,QLD,"['Solar', 'Solar']"
CLERMSF,Clermont,-22.839406,147.546031,2025-10-24T13:20:00,0.0,0.0,140.12,20740.15,QLD,['Solar']
