facility_code,facility_name,lat,lng
WILLHOV,William Hovel,-36.925216,146.389418
0WDBESS,Williamsdale,-35.57458,149.131993
WGWF,Willogoleche,-33.393569,138.84821
NINEWIL,Willoughby,-33.810858,151.196599
WINDHILL,Windy Hill,-17.590399,145.52968
WINGF1,Wingfield,-34.835138,138.548949
WINGF2,Wingfield 2,-34.835138,138.548949
WINTSF1,Winton,-36.499695,146.114554
WIVENHOE,Wivenhoe,-27.372224,152.632362
WIVENSH,Wivenhoe,-27.394592,152.609237
WOLARSF,Wollar,-32.407631,149.940737
WOLLERT,Wollert,-37.591792,145.043033
WONWP,Wonthaggi,-38.60513,145.546292
WDLNGN,Woodlawn,-35.05928,149.5749
WOODLWN,Woodlawn,-35.081675,149.570511
WOOLNTH1,Woolnorth,-40.736375,144.694821
WOOLGSF,Woolooga,-26.084522,152.441226
0WOORBESS,Wooreen,-38.27376,146.427729
WOYWOY,Woy Woy,-33.506914,151.291606
WUNUSF,Wunghnu,-36.164387,145.403731
WYASF,Wyalong,-33.804939,147.295155
WYANGALA,Wyangala A,-33.980371,148.947377
WYANGALB,Wyangala B,-33.980371,148.947377
WYNDW,Wyndham,-37.935372,144.5898
YALLOURN,Yallourn W,-38.177596,146.347508
YSWF,Yaloak South,-37.716474,144.241947
YAMBUK,Yambuk,-38.305278,142.018439
YARANSF,Yarranlea,-27.708939,151.532696
YWNGAHYD,Yarrawonga,-36.009466,145.999568
YARWUN,Yarwun,-23.8302,151.149692
YATSF1,Yatpool,-34.38073,142.20534
YAWWF,Yawong,-36.471022,143.361722
YENDONWF,Yendon,-37.630952,144.022463
